# alias table
# from;to
# the 'from' sequence should be represented by the image for the 'to' sequence
# 'fe0f' is not in these sequences

1f9b8_200d_2642;1f9b8_1f3ff_200d_2642
1f9b9_200d_2640;1f9b9 # XXX remove when 'person' artwork exists
1f9b9;1f9b9_1f3fb # supervillain
1f9b9;1f9b9_1f3fc
1f9b9;1f9b9_1f3fd
1f9b9;1f9b9_1f3fe
1f9b9;1f9b9_1f3ff
1f9b9_200d_2640;1f9b9_1f3fb_200d_2640 # woman supervillain
1f9b9_200d_2640;1f9b9_1f3fc_200d_2640
1f9b9_200d_2640;1f9b9_1f3fd_200d_2640
1f9b9_200d_2640;1f9b9_1f3fe_200d_2640
1f9b9_200d_2640;1f9b9_1f3ff_200d_2640
1f9b9_200d_2642;1f9b9_1f3fb_200d_2642 # man supervillain
1f9b9_200d_2642;1f9b9_1f3fc_200d_2642
1f9b9_200d_2642;1f9b9_1f3fd_200d_2642
1f9b9_200d_2642;1f9b9_1f3fe_200d_2642
1f9b9_200d_2642;1f9b9_1f3ff_200d_2642
1f9d6_200d_2640;1f9d6 # XXX remove when 'person' artwork exists
1f9d6;1f9d6_1f3fb # person in steamy room
1f9d6;1f9d6_1f3fc
1f9d6;1f9d6_1f3fd
1f9d6;1f9d6_1f3fe
1f9d6;1f9d6_1f3ff
1f9d6_200d_2640;1f9d6_1f3fb_200d_2640 # woman in steamy room
1f9d6_200d_2640;1f9d6_1f3fc_200d_2640
1f9d6_200d_2640;1f9d6_1f3fd_200d_2640
1f9d6_200d_2640;1f9d6_1f3fe_200d_2640
1f9d6_200d_2640;1f9d6_1f3ff_200d_2640
1f9d6_200d_2642;1f9d6_1f3fb_200d_2642 # man in steamy room
1f9d6_200d_2642;1f9d6_1f3fc_200d_2642
1f9d6_200d_2642;1f9d6_1f3fd_200d_2642
1f9d6_200d_2642;1f9d6_1f3fe_200d_2642
1f9d6_200d_2642;1f9d6_1f3ff_200d_2642
1f9d7_200d_2640;1f9d7 # XXX remove when 'person' artwork exists
1f9d7;1f9d7_1f3fb # person climbing
1f9d7;1f9d7_1f3fc
1f9d7;1f9d7_1f3fd
1f9d7;1f9d7_1f3fe
1f9d7;1f9d7_1f3ff
1f9d7_200d_2640;1f9d7_1f3fb_200d_2640 # woman climbing
1f9d7_200d_2640;1f9d7_1f3fc_200d_2640
1f9d7_200d_2640;1f9d7_1f3fd_200d_2640
1f9d7_200d_2640;1f9d7_1f3fe_200d_2640
1f9d7_200d_2640;1f9d7_1f3ff_200d_2640
1f9d7_200d_2642;1f9d7_1f3fb_200d_2642 # man climbing
1f9d7_200d_2642;1f9d7_1f3fc_200d_2642
1f9d7_200d_2642;1f9d7_1f3fd_200d_2642
1f9d7_200d_2642;1f9d7_1f3fe_200d_2642
1f9d7_200d_2642;1f9d7_1f3ff_200d_2642
1f9d8_200d_2640;1f9d8 # XXX remove when 'person' artwork exists
1f9d8;1f9d8_1f3fb # person in lotus position
1f9d8;1f9d8_1f3fc
1f9d8;1f9d8_1f3fd
1f9d8;1f9d8_1f3fe
1f9d8;1f9d8_1f3ff
1f9d8_200d_2640;1f9d8_1f3fb_200d_2640 # woman in lotus position
1f9d8_200d_2640;1f9d8_1f3fc_200d_2640
1f9d8_200d_2640;1f9d8_1f3fd_200d_2640
1f9d8_200d_2640;1f9d8_1f3fe_200d_2640
1f9d8_200d_2640;1f9d8_1f3ff_200d_2640
1f9d8_200d_2642;1f9d8_1f3fb_200d_2642 # man in lotus position
1f9d8_200d_2642;1f9d8_1f3fc_200d_2642
1f9d8_200d_2642;1f9d8_1f3fd_200d_2642
1f9d8_200d_2642;1f9d8_1f3fe_200d_2642
1f9d8_200d_2642;1f9d8_1f3ff_200d_2642
1f9d9_200d_2640;1f9d9 # XXX remove when 'person' artwork exists
1f9d9;1f9d9_1f3fb # mage
1f9d9;1f9d9_1f3fc
1f9d9;1f9d9_1f3fd
1f9d9;1f9d9_1f3fe
1f9d9;1f9d9_1f3ff
1f9d9_200d_2640;1f9d9_1f3fb_200d_2640 # woman mage
1f9d9_200d_2640;1f9d9_1f3fc_200d_2640
1f9d9_200d_2640;1f9d9_1f3fd_200d_2640
1f9d9_200d_2640;1f9d9_1f3fe_200d_2640
1f9d9_200d_2640;1f9d9_1f3ff_200d_2640
1f9d9_200d_2642;1f9d9_1f3fb_200d_2642 # man mage
1f9d9_200d_2642;1f9d9_1f3fc_200d_2642
1f9d9_200d_2642;1f9d9_1f3fd_200d_2642
1f9d9_200d_2642;1f9d9_1f3fe_200d_2642
1f9d9_200d_2642;1f9d9_1f3ff_200d_2642
1f9da_200d_2640;1f9da # XXX remove when 'person' artwork exists
1f9da;1f9da_1f3fb # fairy
1f9da;1f9da_1f3fc
1f9da;1f9da_1f3fd
1f9da;1f9da_1f3fe
1f9da;1f9da_1f3ff
1f9da_200d_2640;1f9da_1f3fb_200d_2640 # woman fairy
1f9da_200d_2640;1f9da_1f3fc_200d_2640
1f9da_200d_2640;1f9da_1f3fd_200d_2640
1f9da_200d_2640;1f9da_1f3fe_200d_2640
1f9da_200d_2640;1f9da_1f3ff_200d_2640
1f9da_200d_2642;1f9da_1f3fb_200d_2642 # man fairy
1f9da_200d_2642;1f9da_1f3fc_200d_2642
1f9da_200d_2642;1f9da_1f3fd_200d_2642
1f9da_200d_2642;1f9da_1f3fe_200d_2642
1f9da_200d_2642;1f9da_1f3ff_200d_2642
1f9db_200d_2640;1f9db # XXX remove when 'person' artwork exists
1f9db;1f9db_1f3fb # vampire
1f9db;1f9db_1f3fc
1f9db;1f9db_1f3fd
1f9db;1f9db_1f3fe
1f9db;1f9db_1f3ff
1f9db_200d_2640;1f9db_1f3fb_200d_2640 # woman vampire
1f9db_200d_2640;1f9db_1f3fc_200d_2640
1f9db_200d_2640;1f9db_1f3fd_200d_2640
1f9db_200d_2640;1f9db_1f3fe_200d_2640
1f9db_200d_2640;1f9db_1f3ff_200d_2640
1f9db_200d_2642;1f9db_1f3fb_200d_2642 # man vampire
1f9db_200d_2642;1f9db_1f3fc_200d_2642
1f9db_200d_2642;1f9db_1f3fd_200d_2642
1f9db_200d_2642;1f9db_1f3fe_200d_2642
1f9db_200d_2642;1f9db_1f3ff_200d_2642
1f9dc_200d_2640;1f9dc # XXX remove when 'person' artwork exists
1f9dc;1f9dc_1f3fb # merperson
1f9dc;1f9dc_1f3fc
1f9dc;1f9dc_1f3fd
1f9dc;1f9dc_1f3fe
1f9dc;1f9dc_1f3ff
1f9dc_200d_2640;1f9dc_1f3fb_200d_2640 # mermaid
1f9dc_200d_2640;1f9dc_1f3fc_200d_2640
1f9dc_200d_2640;1f9dc_1f3fd_200d_2640
1f9dc_200d_2640;1f9dc_1f3fe_200d_2640
1f9dc_200d_2640;1f9dc_1f3ff_200d_2640
1f9dc_200d_2642;1f9dc_1f3fb_200d_2642 # merman
1f9dc_200d_2642;1f9dc_1f3fc_200d_2642
1f9dc_200d_2642;1f9dc_1f3fd_200d_2642
1f9dc_200d_2642;1f9dc_1f3fe_200d_2642
1f9dc_200d_2642;1f9dc_1f3ff_200d_2642
1f9dd_200d_2640;1f9dd # XXX remove when 'person' artwork exists
1f9dd;1f9dd_1f3fb # elf
1f9dd;1f9dd_1f3fc
1f9dd;1f9dd_1f3fd
1f9dd;1f9dd_1f3fe
1f9dd;1f9dd_1f3ff
1f9dd_200d_2640;1f9dd_1f3fb_200d_2640 # woman elf
1f9dd_200d_2640;1f9dd_1f3fc_200d_2640
1f9dd_200d_2640;1f9dd_1f3fd_200d_2640
1f9dd_200d_2640;1f9dd_1f3fe_200d_2640
1f9dd_200d_2640;1f9dd_1f3ff_200d_2640
1f9dd_200d_2642;1f9dd_1f3fb_200d_2642 # man elf
1f9dd_200d_2642;1f9dd_1f3fc_200d_2642
1f9dd_200d_2642;1f9dd_1f3fd_200d_2642
1f9dd_200d_2642;1f9dd_1f3fe_200d_2642
1f9dd_200d_2642;1f9dd_1f3ff_200d_2642
1f46e_200d_2640;1f46e # XXX remove when 'person' artwork exists
1f46e;1f46e_1f3fb # police officer
1f46e;1f46e_1f3fc
1f46e;1f46e_1f3fd
1f46e;1f46e_1f3fe
1f46e;1f46e_1f3ff
1f46e_200d_2640;1f46e_1f3fb_200d_2640 # woman police officer
1f46e_200d_2640;1f46e_1f3fc_200d_2640
1f46e_200d_2640;1f46e_1f3fd_200d_2640
1f46e_200d_2640;1f46e_1f3fe_200d_2640
1f46e_200d_2640;1f46e_1f3ff_200d_2640
1f46e_200d_2642;1f46e_1f3fb_200d_2642 # man police officer
1f46e_200d_2642;1f46e_1f3fc_200d_2642
1f46e_200d_2642;1f46e_1f3fd_200d_2642
1f46e_200d_2642;1f46e_1f3fe_200d_2642
1f46e_200d_2642;1f46e_1f3ff_200d_2642
1f64b_200d_2640;1f64b # XXX remove when 'person' artwork exists
1f64b;1f64b_1f3fb # person raising hand
1f64b;1f64b_1f3fc
1f64b;1f64b_1f3fd
1f64b;1f64b_1f3fe
1f64b;1f64b_1f3ff
1f64b_200d_2640;1f64b_1f3fb_200d_2640 # woman raising hand
1f64b_200d_2640;1f64b_1f3fc_200d_2640
1f64b_200d_2640;1f64b_1f3fd_200d_2640
1f64b_200d_2640;1f64b_1f3fe_200d_2640
1f64b_200d_2640;1f64b_1f3ff_200d_2640
1f64b_200d_2642;1f64b_1f3fb_200d_2642 # man raising hand
1f64b_200d_2642;1f64b_1f3fc_200d_2642
1f64b_200d_2642;1f64b_1f3fd_200d_2642
1f64b_200d_2642;1f64b_1f3fe_200d_2642
1f64b_200d_2642;1f64b_1f3ff_200d_2642
1f64d_200d_2640;1f64d # XXX remove when 'person' artwork exists
1f64d;1f64d_1f3fb # person frowning
1f64d;1f64d_1f3fc
1f64d;1f64d_1f3fd
1f64d;1f64d_1f3fe
1f64d;1f64d_1f3ff
1f64d_200d_2640;1f64d_1f3fb_200d_2640 # woman frowning
1f64d_200d_2640;1f64d_1f3fc_200d_2640
1f64d_200d_2640;1f64d_1f3fd_200d_2640
1f64d_200d_2640;1f64d_1f3fe_200d_2640
1f64d_200d_2640;1f64d_1f3ff_200d_2640
1f64d_200d_2642;1f64d_1f3fb_200d_2642 # man frowning
1f64d_200d_2642;1f64d_1f3fc_200d_2642
1f64d_200d_2642;1f64d_1f3fd_200d_2642
1f64d_200d_2642;1f64d_1f3fe_200d_2642
1f64d_200d_2642;1f64d_1f3ff_200d_2642
1f64e_200d_2640;1f64e # XXX remove when 'person' artwork exists
1f64e;1f64e_1f3fb # person pouting
1f64e;1f64e_1f3fc
1f64e;1f64e_1f3fd
1f64e;1f64e_1f3fe
1f64e;1f64e_1f3ff
1f64e_200d_2640;1f64e_1f3fb_200d_2640 # woman pouting
1f64e_200d_2640;1f64e_1f3fc_200d_2640
1f64e_200d_2640;1f64e_1f3fd_200d_2640
1f64e_200d_2640;1f64e_1f3fe_200d_2640
1f64e_200d_2640;1f64e_1f3ff_200d_2640
1f64e_200d_2642;1f64e_1f3fb_200d_2642 # man pouting
1f64e_200d_2642;1f64e_1f3fc_200d_2642
1f64e_200d_2642;1f64e_1f3fd_200d_2642
1f64e_200d_2642;1f64e_1f3fe_200d_2642
1f64e_200d_2642;1f64e_1f3ff_200d_2642
1f93c_200d_2640;1f93c # XXX remove when 'person' artwork exists
1f93c;1f93c_1f3fb # people wrestling
1f93c;1f93c_1f3fc
1f93c;1f93c_1f3fd
1f93c;1f93c_1f3fe
1f93c;1f93c_1f3ff
1f93c_200d_2640;1f93c_1f3fb_200d_2640 # women wrestling
1f93c_200d_2640;1f93c_1f3fc_200d_2640
1f93c_200d_2640;1f93c_1f3fd_200d_2640
1f93c_200d_2640;1f93c_1f3fe_200d_2640
1f93c_200d_2640;1f93c_1f3ff_200d_2640
1f93c_200d_2642;1f93c_1f3fb_200d_2642 # men wrestling
1f93c_200d_2642;1f93c_1f3fc_200d_2642
1f93c_200d_2642;1f93c_1f3fd_200d_2642
1f93c_200d_2642;1f93c_1f3fe_200d_2642
1f93c_200d_2642;1f93c_1f3ff_200d_2642
1f93d_200d_2640;1f93d # XXX remove when 'person' artwork exists
1f93d;1f93d_1f3fb # person playing water polo
1f93d;1f93d_1f3fc
1f93d;1f93d_1f3fd
1f93d;1f93d_1f3fe
1f93d;1f93d_1f3ff
1f93d_200d_2640;1f93d_1f3fb_200d_2640 # woman playing water polo
1f93d_200d_2640;1f93d_1f3fc_200d_2640
1f93d_200d_2640;1f93d_1f3fd_200d_2640
1f93d_200d_2640;1f93d_1f3fe_200d_2640
1f93d_200d_2640;1f93d_1f3ff_200d_2640
1f93d_200d_2642;1f93d_1f3fb_200d_2642 # man playing water polo
1f93d_200d_2642;1f93d_1f3fc_200d_2642
1f93d_200d_2642;1f93d_1f3fd_200d_2642
1f93d_200d_2642;1f93d_1f3fe_200d_2642
1f93d_200d_2642;1f93d_1f3ff_200d_2642
1f93e_200d_2640;1f93e # XXX remove when 'person' artwork exists
1f93e;1f93e_1f3fb # person playing handball
1f93e;1f93e_1f3fc
1f93e;1f93e_1f3fd
1f93e;1f93e_1f3fe
1f93e;1f93e_1f3ff
1f93e_200d_2640;1f93e_1f3fb_200d_2640 # woman playing handball
1f93e_200d_2640;1f93e_1f3fc_200d_2640
1f93e_200d_2640;1f93e_1f3fd_200d_2640
1f93e_200d_2640;1f93e_1f3fe_200d_2640
1f93e_200d_2640;1f93e_1f3ff_200d_2640
1f93e_200d_2642;1f93e_1f3fb_200d_2642 # man playing handball
1f93e_200d_2642;1f93e_1f3fc_200d_2642
1f93e_200d_2642;1f93e_1f3fd_200d_2642
1f93e_200d_2642;1f93e_1f3fe_200d_2642
1f93e_200d_2642;1f93e_1f3ff_200d_2642
1f471_200d_2640;1f471 # XXX remove when 'person' artwork exists
1f471;1f471_1f3fb # blond-haired person
1f471;1f471_1f3fc
1f471;1f471_1f3fd
